Time: 2025-02-20 15:20:33, FPS: 19, Objects Detected: 2
Time: 2025-02-20 15:20:33, FPS: 19, Objects Detected: 2
Time: 2025-02-20 15:20:33, FPS: 19, Objects Detected: 2
Time: 2025-02-20 15:20:33, FPS: 16, Objects Detected: 4
Time: 2025-02-20 15:20:33, FPS: 18, Objects Detected: 3
Time: 2025-02-20 15:20:33, FPS: 18, Objects Detected: 3
Time: 2025-02-20 15:20:33, FPS: 19, Objects Detected: 4
Time: 2025-02-20 15:20:33, FPS: 17, Objects Detected: 4
Time: 2025-02-20 15:20:33, FPS: 18, Objects Detected: 3
Time: 2025-02-20 15:20:33, FPS: 19, Objects Detected: 2
Time: 2025-02-20 15:20:33, FPS: 19, Objects Detected: 2
Time: 2025-02-20 15:20:33, FPS: 18, Objects Detected: 3
Time: 2025-02-20 15:20:33, FPS: 18, Objects Detected: 3
Time: 2025-02-20 15:20:33, FPS: 18, Objects Detected: 2
Time: 2025-02-20 15:20:33, FPS: 19, Objects Detected: 2
Time: 2025-02-20 15:20:34, FPS: 19, Objects Detected: 4
Time: 2025-02-20 15:20:34, FPS: 17, Objects Detected: 2
Time: 2025-02-20 15:20:34, FPS: 20, Objects Detected: 2
Time: 2025-02-20 15:20:34, FPS: 19, Objects Detected: 3
Time: 2025-02-20 15:20:34, FPS: 18, Objects Detected: 4
Time: 2025-02-20 15:20:34, FPS: 17, Objects Detected: 3
Time: 2025-02-20 15:20:34, FPS: 18, Objects Detected: 4
Time: 2025-02-20 15:20:34, FPS: 17, Objects Detected: 1
Time: 2025-02-20 15:20:34, FPS: 18, Objects Detected: 1
Time: 2025-02-20 15:20:34, FPS: 20, Objects Detected: 2
Time: 2025-02-20 15:20:34, FPS: 19, Objects Detected: 2
Time: 2025-02-20 15:20:34, FPS: 19, Objects Detected: 2
Time: 2025-02-20 15:20:34, FPS: 19, Objects Detected: 2
Time: 2025-02-20 15:20:34, FPS: 19, Objects Detected: 2
Time: 2025-02-20 15:20:34, FPS: 20, Objects Detected: 2
Time: 2025-02-20 15:20:34, FPS: 18, Objects Detected: 3
Time: 2025-02-20 15:20:34, FPS: 17, Objects Detected: 2
Time: 2025-02-20 15:20:34, FPS: 20, Objects Detected: 2
Time: 2025-02-20 15:20:34, FPS: 18, Objects Detected: 2
Time: 2025-02-20 15:20:35, FPS: 18, Objects Detected: 2
Time: 2025-02-20 15:20:35, FPS: 19, Objects Detected: 2
Time: 2025-02-20 15:20:35, FPS: 18, Objects Detected: 2
Time: 2025-02-20 15:20:35, FPS: 19, Objects Detected: 2
Time: 2025-02-20 15:20:35, FPS: 18, Objects Detected: 3
Time: 2025-02-20 15:20:35, FPS: 18, Objects Detected: 1
Time: 2025-02-20 15:20:35, FPS: 20, Objects Detected: 3
Time: 2025-02-20 15:20:35, FPS: 17, Objects Detected: 1
Time: 2025-02-20 15:20:35, FPS: 21, Objects Detected: 2
Time: 2025-02-20 15:20:35, FPS: 19, Objects Detected: 2
Time: 2025-02-20 15:20:35, FPS: 19, Objects Detected: 2
Time: 2025-02-20 15:20:35, FPS: 19, Objects Detected: 3
Time: 2025-02-20 15:20:35, FPS: 18, Objects Detected: 3
Time: 2025-02-20 15:20:35, FPS: 17, Objects Detected: 3
Time: 2025-02-20 15:20:35, FPS: 13, Objects Detected: 3
Time: 2025-02-20 15:20:35, FPS: 19, Objects Detected: 3
Time: 2025-02-20 15:20:35, FPS: 19, Objects Detected: 3
Time: 2025-02-20 15:20:35, FPS: 17, Objects Detected: 2
Time: 2025-02-20 15:20:36, FPS: 19, Objects Detected: 3
Time: 2025-02-20 15:20:36, FPS: 18, Objects Detected: 3
Time: 2025-02-20 15:20:36, FPS: 18, Objects Detected: 3
Time: 2025-02-20 15:20:36, FPS: 18, Objects Detected: 3
Time: 2025-02-20 15:20:36, FPS: 18, Objects Detected: 2
Time: 2025-02-20 15:20:36, FPS: 19, Objects Detected: 2
Time: 2025-02-20 15:20:36, FPS: 19, Objects Detected: 2
Time: 2025-02-20 15:20:36, FPS: 18, Objects Detected: 3
Time: 2025-02-20 15:20:36, FPS: 18, Objects Detected: 2
Time: 2025-02-20 15:20:36, FPS: 19, Objects Detected: 2
Time: 2025-02-20 15:20:36, FPS: 19, Objects Detected: 2
Time: 2025-02-20 15:20:36, FPS: 18, Objects Detected: 2
Time: 2025-02-20 15:20:36, FPS: 19, Objects Detected: 3
Time: 2025-02-20 15:20:36, FPS: 18, Objects Detected: 2
Time: 2025-02-20 15:20:36, FPS: 19, Objects Detected: 2
Time: 2025-02-20 15:20:36, FPS: 18, Objects Detected: 2
Time: 2025-02-20 15:20:36, FPS: 19, Objects Detected: 2
Time: 2025-02-20 15:20:36, FPS: 19, Objects Detected: 2
Time: 2025-02-20 15:20:36, FPS: 19, Objects Detected: 3
Time: 2025-02-20 15:20:37, FPS: 17, Objects Detected: 2
Time: 2025-02-20 15:20:37, FPS: 18, Objects Detected: 3
Time: 2025-02-20 15:20:37, FPS: 18, Objects Detected: 2
Time: 2025-02-20 15:20:37, FPS: 19, Objects Detected: 1
Time: 2025-02-20 15:20:37, FPS: 16, Objects Detected: 1
Time: 2025-02-20 15:20:37, FPS: 20, Objects Detected: 2
Time: 2025-02-20 15:20:37, FPS: 19, Objects Detected: 2
Time: 2025-02-20 15:20:37, FPS: 19, Objects Detected: 2
